baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DDB_G0267522	57.2720304766822	-0.957042760458587	0.29763251844267	-3.21551813446397	0.00130209267640818	0.00847346024114213
DDB_G0267524	7570.29409331615	0.349287716155512	0.120722161349197	2.89331894203894	0.00381193996040419	0.019816501088859
DDB_G0267526	1262.94826733565	-0.217640638300718	0.0966601269733956	-2.25160720470211	0.0243471053669457	0.0799837609013818
DDB_G0267528	7580.94120929677	0.330451370365412	0.136486976701542	2.4211201563063	0.015472761980801	0.0571941502377287
DDB_G0267530	5834.22118085962	0.979763978965766	0.18663750432286	5.2495557231139	1.52466475312506e-07	3.87437302947076e-06
DDB_G0267532	10.1888934547761	-1.56275586610871	0.771230390355669	-2.02631520444626	0.0427324941522751	0.120482231801266
DDB_G0267534	1155.67879124143	0.125541929428842	0.138391787995983	0.907148691745251	0.364328172046136	0.53864552507868
DDB_G0267536	3231.65046031477	0.260774670091937	0.0816224613095148	3.19488858713867	0.00139884829931356	0.00897314434699194
DDB_G0267538	1484.34728932585	0.17459106118894	0.103197867083693	1.69180881468555	0.0906824323783307	0.207259154695907
DDB_G0267540	835.81404329825	0.155379524880417	0.0789549561785981	1.96795150552607	0.0490736177407045	0.133744888714327
DDB_G0267544	9.63507417025463	-0.693898803788713	0.588476501927036	-1.17914445439446	0.238340659622685	0.405564767181331
DDB_G0267546	218.684778709249	-0.112493232987793	0.135130423077716	-0.832478952005468	0.405138653883008	0.576214696287733
DDB_G0267548	1210.51261251659	-0.278319033029786	0.0882794890289976	-3.15270326200421	0.00161766155764217	0.0100380316994933
DDB_G0267552	1384.96149319771	-0.0491078533475405	0.0896219708725746	-0.547944358614502	0.583730109086443	0.727730120862591
DDB_G0267554	51.5872840481389	-0.467054759178667	0.287864182869559	-1.62248305615119	0.104699958182476	0.229643237394337
DDB_G0267556	588.208764231431	-0.222486052330512	0.122226474071393	-1.82027710461939	0.068716816225974	0.170110261616265
DDB_G0267560	1702.78415712806	0.037393932060356	0.0860897232607414	0.434359998429782	0.664027040954441	0.791022812706031
DDB_G0267562	57.8100469560662	-0.670926544815544	0.510483532761886	-1.31429615601038	0.188746560368	0.345255319992169
DDB_G0267564	14.8780467614686	-0.72678982666248	0.546637869672355	-1.32956362335106	0.183662090156706	0.338839074505234
DDB_G0267568	2571.651196086	0.0312652313057136	0.079540524711069	0.393072982851	0.694265577946012	0.81160089809323
DDB_G0267570	2374.35690343736	-0.0292160995491067	0.186885601845208	-0.156331462994702	0.87577175733671	0.929614429381691
DDB_G0267572	692.556462971854	-0.0745144044528976	0.194238612493264	-0.383623026835005	0.7012578705669	0.817252304946217
DDB_G0267574	361.978148221207	0.240899289918153	0.0868665509443583	2.77321117621511	0.00555060879423502	0.0263407431257864
DDB_G0267576	41.5035490235603	-1.67865216160494	0.410274386903941	-4.09153536069501	4.28526587563785e-05	0.000524255608671784
DDB_G0267582	676.719822521787	0.174292862965115	0.138524222567759	1.25821217209763	0.208315034063156	0.36941366931321
