baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PBONN_00086_gene	4634.4520616181	0.0380695252648586	0.266124460344357	0.143051582765439	0.886249442917867	0.928826744222904
PBONN_00087_gene	1314.77810624286	0.376701154222161	0.210207758928746	1.79204210226061	0.0731262220971444	0.136929878388175
PBONN_00088_gene	56.8962330865034	-0.903381708385221	0.420904450422908	-2.14628690069098	0.0318500960467266	0.0674485079181011
PBONN_00089_gene	39.9588601025442	1.40928283384092	0.491245710032477	2.86879417989778	0.00412039827898918	0.011532046149895
PBONN_00090_gene	84.2256980092588	-0.439665433099062	0.359081202274627	-1.22441784842528	0.22079463959072	0.331869243556603
PBONN_00091_gene	464.520155572341	-0.0626694837054924	0.228707556428228	-0.274015798534226	0.784072480688066	0.850858893012433
PBONN_00092_gene	18475.4667499606	0.785042121506861	0.187931193153286	4.17728482608282	2.95009519022416e-05	0.000135781115330404
PBONN_00093_gene	159.804816573088	0.969751615969649	0.322541518796217	3.00659468458181	0.002641917622987	0.00781091075231458
PBONN_00094_gene	262.094059516282	-0.077232150257839	0.243143604839958	-0.317640064227372	0.750757979955834	0.825108407922475
PBONN_00095_gene	259.379658506593	-0.262140723265281	0.244903760462041	-1.07038259751798	0.284447129216575	0.405353067809751
PBONN_00096_gene	519.848694694898	-0.504560358257089	0.215909107743269	-2.336910950774	0.0194438148254144	0.0441400928146435
PBONN_00097_gene	224.822684185421	-0.804426727782379	0.264866808165611	-3.03709903612914	0.00238866961258702	0.00717727614725438
PBONN_00098_gene	33.2342146243035	-0.44783737220288	0.533023023775159	-0.840183917443287	0.400805274252765	0.529255720769094
PBONN_00099_gene	403.152037230516	0.721099402287403	0.234130576158721	3.07990273683245	0.00207068204493518	0.00631716696658864
PBONN_00100_gene	870.978585066077	0.728157501882342	0.213702512570895	3.40734179080266	0.000655989257231944	0.00227100628726494
PBONN_00101_gene	328.974803492303	0.0789284977130239	0.225175641861697	0.350519696804069	0.72594871071741	0.806750399035224
PBONN_00102_gene	24.5025945234829	1.49210610213655	0.569285501284931	2.621015463715	0.00876682852741659	0.0223557636988165
PBONN_00103_gene	65.4616927287715	1.31925166840558	0.382531251154192	3.44874219929761	0.000563204130093207	0.00199755585116577
PBONN_00108_gene	36.838182718937	0.691957080412467	0.500692763335418	1.38199936384725	0.166971896435023	0.268588631386641
PBONN_00111_gene	12.6218713841818	-0.490219628409145	0.852202394757741	-0.575238501352137	0.565130007226297	NA
PBONN_00112_gene	38.0451995415541	0.462940877119841	0.471230498874584	0.982408562742564	0.325898609561761	0.450891090850815
PBONN_00113_gene	7.71251932938542	-0.55678221687843	1.02941267721987	-0.540873674085817	0.588594657510276	NA
PBONN_00114_gene	12.4579040024009	0.148166729101092	0.787950503017287	0.188040655515441	0.85084478111001	NA
PBONN_00115_gene	48.7552144160379	-0.0662359501764604	0.45160825440227	-0.146666828010324	0.883395002812347	0.926750027653928
PBONN_00117_gene	12.2726886271778	0.0898742604438922	0.81800921527735	0.109869496290968	0.912512874486628	NA
