baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DDB_G0267414	925.292422040504	0.299507451521241	0.0944746803062235	3.17024043426704	0.001523128477955	0.0278595180209556
DDB_G0267416	2079.33231248523	0.378999448085293	0.199458428173747	1.90014255880503	0.0574144139412188	0.2279182114784
DDB_G0267418	101696.916556617	0.501988048195693	0.170187938367011	2.94961001944305	0.00318175266270293	0.0432272819897814
DDB_G0267420	11837.5657654135	-0.00696732690061999	0.196402094670535	-0.0354748095345302	0.971701132808122	0.987588736668392
DDB_G0267422	587.833828280325	-0.179204065976362	0.0938351769620513	-1.90977490295389	0.0561622019946343	0.225203870172554
DDB_G0267424	765.58831619043	0.057811154425823	0.126615792942075	0.456587231991436	0.647967758149617	0.816454010339283
DDB_G0267426	6047.55591535668	-0.0227316757273776	0.197956231751355	-0.114831826845087	0.908578421740195	0.956520101313868
DDB_G0267428	571.109389692154	-0.0176983717056053	0.12422580120879	-0.142469370560623	0.8867092713062	0.946969006422486
DDB_G0267430	251.388781143746	0.0804887570098308	0.136184071201885	0.591029158546087	0.554500884005905	0.753827083970519
DDB_G0267432	526.967567564863	0.804186707047864	0.207295328443877	3.87942513265845	0.000104703620533939	0.00507926367872794
DDB_G0267436	8773.0048735056	-0.0837110125780464	0.121355046549907	-0.68980248418116	0.490318406264678	0.708070230434964
DDB_G0267438	1041.9585387317	0.0453376053131438	0.139028731851237	0.326102415734151	0.744346869358803	0.873181778932406
DDB_G0267440	72.2239687806304	-0.595365768172729	0.345152884222569	-1.72493348712338	0.0845394598317376	0.281566872558989
DDB_G0267442	369.631273683692	0.00790830807013443	0.137369111257176	0.0575697694900922	0.954091330172925	0.978650794429272
DDB_G0267444	8087.25215574408	0.368179090527269	0.0893022708907299	4.12284129905019	3.74227536970914e-05	0.00245614337867822
DDB_G0267446	839.220305038828	-0.0622869779901069	0.189989389386754	-0.32784450853364	0.743029232517021	0.871750647929407
DDB_G0267448	1679.52566281466	-0.125097594654897	0.15122218612293	-0.827243659559345	0.408098970135807	0.645638321062072
DDB_G0267450	2918.75110614021	0.214766520989185	0.152589064011026	1.40748304854708	0.159284200344131	0.390276778530347
DDB_G0267452	9496.74052930462	0.0972391030631775	0.130805251016656	0.743388375523209	0.457246580054248	0.683326677737586
DDB_G0267454	157597.968817118	0.325787768999247	0.109851445315701	2.96571217668523	0.00301982960127743	0.0419206827698326
DDB_G0267456	417.769821916148	-0.461677680976449	0.735751660256482	-0.627491184750449	0.530337312779797	0.737350600291661
DDB_G0267458	409.736878608258	-0.492212911689795	0.276196483648282	-1.78211143454163	0.0747310615006833	0.261008607854454
DDB_G0267460	360.108798534592	0.113977100027844	0.15331666264141	0.74340973814714	0.457233650309931	0.683326677737586
DDB_G0267462	1167.51061869812	-0.157142996612986	0.0921527718936899	-1.70524438260274	0.0881488556410903	0.288577870863404
DDB_G0267464	914.093060946705	0.140267981315897	0.100722368525522	1.39261996485273	0.163734742441834	0.394465940900355
DDB_G0267466	9.10524068655641	-0.741374481040323	1.15729869184176	-0.640607724061693	0.521777579916264	NA
DDB_G0267470	1888.79515517554	0.0423006353456701	0.152482750456941	0.277412594007578	0.781463312356947	0.893358289715434
DDB_G0267472	3065.59276934509	-0.0662521563556321	0.08297641718361	-0.798445613878815	0.424611942036812	0.660381286893678
DDB_G0267476	49.4714977073867	0.0877915411017513	0.326977897838326	0.268493808548368	0.788319240037685	0.896145891056594
DDB_G0267480	2529.39320937683	0.1344573244471	0.0694396275992089	1.93631978015723	0.0528285476623367	0.218006295161358
DDB_G0267482	309.644896645197	0.028973637568549	0.187887104954231	0.15420769602899	0.877445974222917	0.94346451784279
DDB_G0267484	217.201511523169	0.118634550455622	0.181637915431811	0.653137590648903	0.513667580087307	0.72478609229518
DDB_G0267486	442.526025981959	-0.0578133851679158	0.130700609923828	-0.442334471136817	0.658247190057723	0.822190688664569
DDB_G0267488	111.385831519004	-0.191946726817331	0.212791300651858	-0.902042171034848	0.367034466384707	0.60804559149033
DDB_G0267490	992.028937825703	-0.183466980996141	0.198226032103874	-0.925544334661358	0.354682833375632	0.597677736588804
DDB_G0267492	2853.49501979381	0.122503331140214	0.0863095960054211	1.41934775285612	0.155797656578987	0.385221574134084
DDB_G0267494	41.3058180765039	-0.482833214435853	0.378135348545592	-1.27687934040802	0.201644848974974	0.442666483509743
DDB_G0267496	2957.53649081708	0.185054669661323	0.0800104335096273	2.31288172734442	0.0207291427263146	0.128774172485049
DDB_G0267498	109.860990423777	-0.284466864170495	0.215041265209399	-1.32284779804235	0.185885998154198	0.42230043764937
DDB_G0267500	1934.65559283405	0.383746165071257	0.127141893606894	3.01825113803755	0.00254238119252353	0.0378221575407751
DDB_G0267502	1785.87430689129	0.202244491326725	0.0780624838349155	2.59080266718679	0.0095752379836186	0.0823465920600248
DDB_G0267504	908.692169406814	0.584094498422323	0.152573859370004	3.8282737346628	0.000129045188730623	0.00587321355535922
DDB_G0267506	6.1459754094071	-0.876172372055459	0.942157247704011	-0.929964052381538	0.352389697079874	NA
DDB_G0267508	1150.04438280674	0.539178489547849	0.183721765030643	2.93475565868812	0.00333810434802174	0.0444715215081225
DDB_G0267510	249.212343421107	-0.463890902895502	0.207576035045701	-2.23479990256761	0.0254304882605542	0.140705447596865
DDB_G0267512	1064.19074447007	0.00269078071691568	0.101629450327921	0.0264763875848341	0.978877366973511	0.990433784350293
DDB_G0267514	1392.71783190859	0.258414524820324	0.107795373872879	2.39726915484395	0.0165177853807927	0.112932803011026
